workerID,num_tasks,num_gold_tasks
w265,70,24
w266,120,30
w267,427,116
w268,15,3
w269,130,36
w27,44,8
w270,35,7
w271,14,7
w272,417,136
w273,4,1
w274,5,2
w275,502,132
w276,30,8
w277,15,5
w278,510,153
w279,85,24
w28,652,167
w280,1134,310
w281,255,72
w282,5,1
w283,15,3
w284,15,6
w285,5,1
w286,28,6
w287,25,8
w288,199,57
w289,10,5
w29,40,8
w290,15,3
w291,8,3
w292,15,5
w293,426,120
w294,649,186
w295,30,9
w296,180,52
w297,5,3
w298,5,1
w299,20,5
w3,1640,346
w30,40,8
w300,40,9
w301,5,2
w302,145,34
w303,157,35
w304,44,14
w305,544,154
w306,30,10
w307,15,3
w308,94,23
w309,15,4
w31,30,6
w310,15,7
w311,25,7
w312,80,23
w313,40,8
w314,20,7
w315,40,10
w316,64,16
w317,4,0
w318,90,23
w319,15,6
w32,1139,306
w320,148,46
w321,20,8
w322,215,63
w323,15,4
w324,74,24
w325,70,24
w326,188,51
w327,10,2
w328,20,4
w329,30,7
w33,15,3
w330,155,43
w331,10,2
w332,10,5
w333,15,5
w334,5,2
w335,25,6
w336,5,2
w337,119,39
w338,68,23
w339,508,138
w34,70,14
w340,55,16
w341,30,7
w342,5,1
w343,596,176
w344,90,22
w345,24,8
w346,15,3
w347,5,2
w348,5,2
w349,15,7
w35,10,2
w350,5,1
w351,19,6
w352,43,13
w353,195,53
w354,5,1
w355,20,7
w356,10,2
w357,14,5
w358,347,96
w359,39,7
w36,40,8
w360,5,1
w361,10,3
w362,14,6
w363,504,148
w364,385,112
w365,4,2
w366,15,3
w367,20,6
w368,30,11
w369,5,1
w37,5,1
w370,5,1
w371,10,2
w372,15,4
w373,54,16
w374,20,6
w375,15,5
w376,5,1
w377,64,21
w378,15,4
w379,20,5
w38,25,5
w380,70,18
w381,10,3
w382,45,11
w383,40,10
w384,15,3
w385,110,24
w386,30,7
w387,15,6
w388,10,4
w389,20,6
w39,35,7
w390,20,8
w391,5,3
w392,10,4
w393,65,15
w394,1935,541
w395,25,5
w396,15,3
w397,5,4
w398,187,54
w399,174,55
w4,471,104
w40,5,1
w400,30,6
w401,10,4
w402,24,6
w403,619,168
w404,10,2
w405,35,10
w406,15,5
w407,5,1
w408,10,5
w409,15,3
w41,20,4
w410,5,1
w411,5,1
w412,25,6
w413,20,7
w414,5,1
w415,40,8
w416,15,3
w417,5,2
w418,10,3
w419,15,8
w42,30,6
w420,64,20
w421,45,16
w422,29,10
w423,95,27
w424,5,1
w425,129,37
w426,15,4
w427,414,112
w428,5,1
w429,5,1
w43,55,11
w430,5,2
w431,20,6
w432,5,1
w433,15,6
w434,10,4
w435,25,6
w436,5,1
w437,15,3
w438,30,12
w439,5,1
w44,25,5
w440,15,5
w441,5,1
w442,5,1
w443,5,3
w444,89,31
w445,35,8
w446,5,1
w447,15,5
w448,5,1
w449,15,5
w45,5,1
w450,35,7
w451,5,1
w452,34,8
w453,50,14
w454,84,19
w455,15,3
w456,10,2
w457,70,19
w458,5,3
w459,25,8
w46,110,22
w460,30,7
w461,52,13
w462,5,1
w463,5,2
w464,10,6
w465,4,0
w466,15,4
w467,15,4
w468,5,2
w469,10,3
w47,20,4
w470,15,4
w471,25,9
w472,9,2
w473,10,2
w474,35,8
w475,565,161
w476,5,1
w477,15,3
w478,20,7
w479,25,8
w48,169,47
w480,40,9
w481,25,6
w482,20,5
w483,90,26
w484,70,20
w485,15,6
w486,24,6
w487,30,9
w488,358,103
w489,15,6
w49,9,2
w490,5,1
w491,5,1
w492,15,5
w493,369,93
w494,20,5
w495,711,195
w496,48,16
w497,333,88
w498,5,2
w499,15,3
w5,10,2
w50,84,23
w500,15,6
w501,15,4
w502,49,16
w503,50,12
w504,645,164
w505,10,4
w506,15,3
w507,5,2
w508,15,3
w509,15,3
w51,25,5
w510,5,1
w511,50,13
w512,20,5
w513,5,1
w514,20,5
w515,65,16
w516,25,6
w517,10,2
w518,1153,333
w519,490,123
w52,25,5
w520,1,0
w521,25,6
w522,50,12
w523,5,1
w524,5,3
w525,5,1
w526,5,3
w527,30,10
w528,40,9
w529,55,16
w53,10,2
w530,10,2
w531,10,5
w532,15,5
w533,20,4
w534,20,8
w535,30,11
w536,5,1
w537,5,3
w538,60,16
w539,15,3
w54,15,4
w540,5,1
w541,15,3
w542,35,14
w543,25,8
w544,125,31
w545,124,34
w546,35,10
w547,5,4
w548,20,5
w549,5,3
w55,10,2
w550,30,9
w551,15,4
w552,78,23
w553,14,3
w554,5,1
w555,10,2
w556,73,22
w557,25,9
w558,5,1
w559,15,5
w56,35,9
w560,20,6
w561,30,9
w562,20,6
w563,30,7
w564,15,3
w565,15,6
w566,14,3
w567,15,3
w568,10,3
w569,5,1
w57,120,30
w570,5,1
w571,15,3
w572,5,2
w573,55,24
w574,20,4
w575,20,6
w576,30,9
w577,40,14
w578,55,14
w579,15,5
w58,35,7
w580,20,5
w581,20,5
w582,45,12
w583,5,1
w584,5,1
w585,5,1
w586,15,3
w587,10,3
w588,374,112
w589,1719,472
w59,10,2
w590,5,2
w591,35,9
w592,414,115
w593,94,34
w594,5,1
w595,5,2
w596,108,33
w597,10,2
w598,25,6
w599,20,7
w6,980,208
w60,5,1
w600,70,21
w601,40,11
w602,20,6
w603,15,3
w604,10,4
w605,25,5
w606,15,3
w607,10,4
w608,95,24
w609,5,1
w61,15,3
w610,15,4
w611,20,5
w612,25,5
w613,33,6
w614,15,3
w615,30,8
w616,34,7
w617,10,4
w618,40,9
w619,5,1
w62,20,4
w620,15,3
w621,20,4
w622,5,2
w623,35,9
w624,15,4
w625,29,10
w626,5,1
w627,10,2
w628,10,2
w629,10,5
w63,135,36
w630,5,1
w631,5,1
w632,40,14
w633,10,4
w634,5,1
w635,5,1
w636,5,1
w637,115,34
w638,5,1
w639,10,3
w64,5,1
w640,15,7
w641,30,9
w642,19,7
w643,15,4
w644,5,1
w645,5,1
w646,25,7
w647,15,3
w648,5,1
w649,15,4
w65,15,3
w650,4,1
w651,5,1
w652,10,2
w653,15,3
w654,15,6
w655,5,1
w656,5,2
w657,5,1
w658,25,8
w659,5,2
w66,15,3
w660,15,3
w661,5,1
w662,5,2
w663,10,3
w664,20,4
w665,5,1
w666,5,1
w667,5,1
w668,10,3
w669,5,1
w67,5,1
w670,45,11
w671,15,5
w672,489,123
w673,30,12
w674,569,165
w675,2802,775
w676,99,29
w677,85,22
w678,165,54
w679,561,171
w68,20,4
w680,999,282
w681,10,5
w682,2187,593
w683,585,168
w684,135,36
w685,985,262
w686,90,23
w687,20,5
w688,538,148
w689,310,81
w69,5,1
w690,505,132
w691,75,25
w692,45,11
w693,269,65
w694,25,6
w695,529,149
w696,404,101
w697,15,3
w698,10,2
w699,5,1
w7,544,117
w70,10,2
w700,25,7
w701,15,3
w702,15,3
w703,35,8
w704,95,24
w705,40,13
w706,70,22
w707,15,3
w708,85,24
w709,27,6
w71,5,1
w710,10,4
w711,64,15
w712,159,54
w713,35,11
w714,30,8
w715,295,86
w716,25,8
w717,115,27
w718,65,18
w719,20,6
w72,10,2
w720,35,10
w721,15,8
w722,15,3
w723,70,17
w724,5,3
w725,74,26
w726,10,3
w727,15,4
w728,20,5
w729,19,4
w73,10,2
w730,15,5
w731,5,1
w732,15,5
w733,15,4
w734,10,2
w735,19,6
w736,25,6
w737,20,4
w738,4,1
w739,20,7
w74,25,5
w740,10,3
w741,7,2
w742,15,5
w743,15,3
w744,10,4
w745,5,1
w746,5,1
w747,24,4
w748,20,5
w749,5,1
w75,60,16
w750,15,7
w751,40,10
w752,5,3
w753,5,2
w754,10,2
w755,9,2
w756,5,3
w757,10,3
w758,5,1
w759,5,1
w76,320,96
w760,5,1
w761,5,1
w762,5,2
w763,4,1
w764,15,5
w765,15,6
w766,5,1
w77,39,9
w78,10,2
w79,5,1
w8,199,40
w80,19,8
w81,20,4
w82,15,3
w83,5,1
w84,7,1
w85,5,1
w86,10,2
w87,5,3
w88,15,5
w89,5,1
w9,15,3
w90,5,1
w91,5,1
w92,10,2
w93,5,1
w94,5,1
w95,5,1
w96,10,2
w97,5,1
w98,4,1
w99,99,22
